strategy,pd_threshold,approved_loans,rejected_loans,approval_rate,approved_ead,avg_pd,actual_default_rate,avg_actual_rate,avg_required_rate,total_expected_loss,total_interest_income,total_expected_profit,portfolio_rar
Max Expected Profit,0.5,58289.0,1116.0,0.9812137025502904,818221850.0,0.18920617804976925,0.18880063133695896,0.135419988333991,0.19691798322121737,77362390.38778974,432655836.825,176585978.43721023,0.2158167475449479
Max RAR with Approval Rate >= 30%,0.5,58289.0,1116.0,0.9812137025502904,818221850.0,0.18920617804976925,0.18880063133695896,0.135419988333991,0.19691798322121737,77362390.38778974,432655836.825,176585978.43721023,0.2158167475449479
Balanced: Approval >= 50% and Default <= Portfolio Avg,0.5,58289.0,1116.0,0.9812137025502904,818221850.0,0.18920617804976925,0.18880063133695896,0.135419988333991,0.19691798322121737,77362390.38778974,432655836.825,176585978.43721023,0.2158167475449479
