internal_grade,n_loans,total_ead,avg_pd,actual_default_rate,avg_lgd,avg_actual_rate,avg_lifetime_el_rate,avg_annualized_el_rate,avg_required_rate,avg_pricing_gap,total_expected_loss,total_interest_income,total_expected_profit,avg_rar,total_capital_charge,total_collection_cost,total_tail_risk_penalty,total_economic_profit,avg_economic_return,total_repriced_expected_profit,avg_repriced_rar,total_repriced_economic_profit,avg_repriced_economic_return,underpriced_share,approve_current_share,reprice_share,manual_review_share,reject_share
AAA,3415,41277700.0,0.05410904368169839,0.04187408491947291,0.3,0.08711534407027818,0.016232713104509515,0.00540235819507467,0.11540235819507468,-0.02828701412479649,673390.8858493799,10658971.315,2540546.42915062,0.06539712584131772,161955.56264012158,67339.088584938,13236.218243397765,2298015.559682163,0.059549750710658024,6204195.0,0.15038067349926793,5961664.130531543,0.14453329836860823,0.7587115666178623,0.701610541727672,0.298389458272328,0.0,0.0
AA,8488,108652875.0,0.08711443739538172,0.07775683317624882,0.32,0.10699895146088595,0.02787661996652215,0.009223298047447063,0.11922329804744707,-0.012224346586561106,3031415.957756768,34865640.5675,11983910.109743232,0.11514749643310085,739004.3882666215,303141.59577567683,93770.87463983346,10847993.2510611,0.10472514252024147,16541928.75,0.15177898209236568,15406011.891317869,0.14135662817950628,0.5421771913289349,0.8446041470311028,0.15539585296889727,0.0,0.0
A,11518,150649300.0,0.12391473373745442,0.12354575447126237,0.35,0.12234843722868553,0.043370156808109045,0.014171571822232446,0.12417157182223246,-0.001823134593546912,6537967.298166421,57641427.6775,22791989.379333578,0.15043009497171386,1640124.3987160767,653796.7298166421,286308.755328354,20211759.495472506,0.13344408197503502,23592892.5,0.15480986282340684,21012662.616138928,0.13782384982672802,0.42385830873415525,0.8702899808994617,0.12971001910053828,0.0,0.0
BBB,11905,158117750.0,0.16866429736749264,0.16606467870642588,0.4,0.13379833683326334,0.06746571894699706,0.021362621998600027,0.13136262199860002,0.0024357148346633045,10666512.499065,72490999.98,29903584.480935,0.17482678000302393,2878039.73375352,1066651.2499065,634260.9763543908,25324632.52092059,0.14652522090328363,26600752.5,0.16225535489290216,22021800.53998559,0.13395379579316183,0.37874842503149936,0.874422511549769,0.125577488450231,0.0,0.0
BB,7727,107406275.0,0.21578811969975412,0.21703118933609422,0.45,0.14547354730166948,0.09710465386488934,0.029130899094292742,0.13913089909429274,0.006342648207376728,10439370.009603787,60180022.1375,25707692.627896212,0.20743551696466933,3118753.839234123,1043937.0009603788,792010.9424896892,20752990.84521202,0.16317488817516823,20027466.25,0.17478322764332857,15072764.46731581,0.13052259885382747,0.3483887666623528,0.8764074026142099,0.12359259738579009,0.0,0.0
B,6987,106093775.0,0.2690366461585802,0.2779447545441534,0.5,0.15703908687562615,0.1345183230792901,0.0373613588527742,0.1473613588527742,0.00967772802285196,14308314.4370785,71478036.145,30962017.207921498,0.24562644577715756,4723075.5290791,1430831.44370785,1356754.512960394,23451355.722174153,0.17819329645273124,21839753.75,0.19124803205953914,14329092.264252657,0.12381488273511282,0.34464004579934165,0.8495777873193073,0.15042221268069272,0.0,0.0
CCC,5333,92891825.0,0.34449412729420587,0.3530845677854866,0.55,0.17207479842490156,0.18947177001181326,0.04623714792020752,0.15623714792020751,0.01583765050469404,17648987.56288594,75919368.37,32778140.307114057,0.3053461373573973,6469736.876126382,1764898.756288594,2146165.052176243,22397339.62252284,0.19764539604195625,21243533.75,0.2164354022126383,10862733.065408781,0.10873466089719722,0.2928933058316145,0.8094880930058128,0.19051190699418713,0.0,0.0
D,4032,73525800.0,0.47175986609623016,0.4826388888888889,0.6,0.190740873015873,0.2830559196577381,0.060705135465277775,0.17070513546527777,0.020035737550595234,20820035.7875169,69818734.345,27501136.5574831,0.34653009224702375,8127459.686545224,2082003.57875169,3496103.002735251,13795570.289450932,0.1623977903910671,17914635.0,0.23856646825396824,4209068.731967836,0.054434166398011574,0.2378472222222222,0.767609126984127,0.19766865079365079,0.0,0.034722222222222224
