policy,max_pd,excluded_grades,approved_loans,rejected_loans,approval_rate,approved_ead,avg_pd,actual_default_rate,avg_actual_rate,avg_required_rate,total_expected_loss,total_expected_profit,portfolio_rar,total_capital_charge,total_collection_cost,total_tail_risk_penalty,total_economic_profit,portfolio_economic_return,underpriced_share,high_risk_share
Conservative,0.2,"CCC, D",36383,23022,0.612456863900345,472913075.0,0.12555427129601737,0.12178764807739878,0.11976532721325893,0.12492746078413594,22171888.739963356,70401426.02503665,0.1488675821133443,5786167.343352333,2217188.873996336,1114804.4314349676,61283265.37625301,0.12958674356012045,0.4659044059038562,0.0
Balanced,0.3,D,49727,9678,0.8370844205033247,667123675.0,0.15709829351022583,0.15530798157942366,0.1282221509441551,0.12987234235788706,44890819.34085436,122096139.31414564,0.1830187473321879,12993471.698872523,4489081.934085436,3095361.2700251197,101518224.41116257,0.15217302010929618,0.43441188891346755,0.13421280189836507
Growth,0.4,None,55545,3860,0.9350223045198216,768067625.0,0.17665273665051762,0.17598343685300208,0.13282848141146816,0.13261715039600896,64016744.60387994,157799454.62112004,0.20544994930767982,20002920.939949356,6401674.4603879955,5421466.357371164,125973392.86341153,0.16401341335460082,0.41944369430191736,0.22489873075884417
Aggressive,0.5,None,58289,1116,0.9812137025502904,818221850.0,0.18920617804976925,0.18880063133695896,0.135419988333991,0.134277530591328,77362390.38778974,176585978.43721023,0.2158167475449479,25182439.834640678,7736239.038778974,7501260.070246094,136166039.49354452,0.1664170169661743,0.4109523237660622,0.26138722572011874
