policy,max_pd,excluded_grades,approved_loans,rejected_loans,approval_rate,approved_ead,avg_pd,actual_default_rate,avg_actual_rate,avg_required_rate,total_expected_loss,total_expected_profit,portfolio_rar,total_capital_charge,total_collection_cost,total_tail_risk_penalty,total_economic_profit,portfolio_economic_return,underpriced_share,high_risk_share
Conservative,0.2,"CCC, D",36383,23022,0.612456863900345,472913075.0,0.1255542712960173,0.1217876480773987,0.1197653272132589,0.1249274607841359,22171888.73996336,70401426.02503665,0.1488675821133443,5786167.343352333,2217188.873996336,1114804.4314349676,61283265.37625301,0.1295867435601204,0.4659044059038562,0.0
Balanced,0.3,D,49727,9678,0.8370844205033247,667123675.0,0.1570982935102258,0.1553079815794236,0.1282221509441551,0.129872342357887,44890819.34085436,122096139.31414564,0.1830187473321879,12993471.698872523,4489081.934085436,3095361.27002512,101518224.41116256,0.1521730201092961,0.4344118889134675,0.134212801898365
Growth,0.4,,55545,3860,0.9350223045198216,768067625.0,0.1766527366505176,0.175983436853002,0.1328284814114681,0.1326171503960089,64016744.60387994,157799454.62112004,0.2054499493076798,20002920.93994936,6401674.460387996,5421466.357371164,125973392.86341152,0.1640134133546008,0.4194436943019173,0.2248987307588441
Aggressive,0.5,,58289,1116,0.9812137025502904,818221850.0,0.1892061780497692,0.1888006313369589,0.135419988333991,0.134277530591328,77362390.38778974,176585978.43721023,0.2158167475449479,25182439.83464068,7736239.038778974,7501260.070246094,136166039.49354452,0.1664170169661743,0.4109523237660622,0.2613872257201187
