approval_segment,n_loans,total_ead,avg_pd,actual_default_rate,avg_actual_rate,avg_required_rate,total_expected_loss,total_expected_profit,total_economic_profit,avg_economic_return,underpriced_share,high_risk_share
Approved,49727,667123675.0,0.15709829351022583,0.15530798157942366,0.1282221509441551,0.12987234235788706,44890819.340854354,122096139.31414564,101518224.41116256,0.13690412094041116,0.43441188891346755,0.13421280189836507
Rejected,9678,171491625.0,0.3961415643046084,0.4058689811944617,0.17976130398842735,0.16203334422757457,39235175.09706834,62072877.78543166,37561432.895333745,0.1839790854122978,0.26896052903492457,1.0
