internal_grade,n_loans,total_ead,avg_pd,actual_default_rate,avg_actual_rate,avg_required_rate,avg_pricing_gap,total_expected_loss,total_expected_profit,total_economic_profit,avg_economic_return,underpriced_share,approve_current_share,reprice_share,manual_review_share,reject_share
AAA,3415,41277700.0,0.0541090436816983,0.0418740849194729,0.0871153440702781,0.1154023581950746,-0.0282870141247964,673390.8858493799,2540546.42915062,2298015.559682163,0.059549750710658,0.7587115666178623,0.701610541727672,0.298389458272328,0.0,0.0
AA,8488,108652875.0,0.0871144373953817,0.0777568331762488,0.1069989514608859,0.119223298047447,-0.0122243465865611,3031415.957756768,11983910.109743232,10847993.2510611,0.1047251425202414,0.5421771913289349,0.8446041470311028,0.1553958529688972,0.0,0.0
A,11518,150649300.0,0.1239147337374544,0.1235457544712623,0.1223484372286855,0.1241715718222324,-0.0018231345935469,6537967.298166421,22791989.379333574,20211759.495472506,0.133444081975035,0.4238583087341552,0.8702899808994617,0.1297100191005382,0.0,0.0
BBB,11905,158117750.0,0.1686642973674926,0.1660646787064258,0.1337983368332633,0.1313626219986,0.0024357148346633,10666512.499065,29903584.480935,25324632.52092059,0.1465252209032836,0.3787484250314993,0.874422511549769,0.125577488450231,0.0,0.0
BB,7727,107406275.0,0.2157881196997541,0.2170311893360942,0.1454735473016694,0.1391308990942927,0.0063426482073767,10439370.009603787,25707692.62789621,20752990.84521202,0.1631748881751682,0.3483887666623528,0.8764074026142099,0.12359259738579,0.0,0.0
B,6987,106093775.0,0.2690366461585802,0.2779447545441534,0.1570390868756261,0.1473613588527742,0.0096777280228519,14308314.4370785,30962017.207921498,23451355.722174156,0.1781932964527312,0.3446400457993416,0.8495777873193073,0.1504222126806927,0.0,0.0
CCC,5333,92891825.0,0.3444941272942058,0.3530845677854866,0.1720747984249015,0.1562371479202075,0.015837650504694,17648987.56288594,32778140.307114057,22397339.62252284,0.1976453960419562,0.2928933058316145,0.8094880930058128,0.1905119069941871,0.0,0.0
D,4032,73525800.0,0.4717598660962301,0.4826388888888889,0.190740873015873,0.1707051354652777,0.0200357375505952,20820035.7875169,27501136.5574831,13795570.289450932,0.1623977903910671,0.2378472222222222,0.767609126984127,0.1976686507936507,0.0,0.0347222222222222
