internal_grade,A,B,C,D,E,F,G
AAA,63.83601756954612,26.734992679355784,7.291361639824305,1.7276720351390922,0.3513909224011713,0.05856515373352855,0.0
AA,36.4043355325165,38.41894439208294,18.025447690857682,5.878887841658813,1.0485391140433553,0.20028275212064092,0.0235626767200754
A,19.473866990797013,40.69282861607918,25.51658274005904,11.11304045841292,2.6480291717312032,0.47751345719743005,0.07813856572321584
BBB,11.381772364552708,35.59008819823604,31.44057118857623,15.707685846283074,4.687106257874842,1.0499790004199916,0.14279714405711885
BB,5.707260256244338,28.160993917432382,34.65769380095768,20.861912773392003,8.036754238384884,2.0965445839264913,0.47884042966222334
B,2.7050236152855303,20.037211965078004,34.26363246028338,24.25933877200515,13.52511807642765,4.336625161013311,0.8730499499069702
CCC,1.0125632852053252,11.00693793362085,29.34558409900619,27.545471591974497,19.969998124882803,8.75679729983124,2.362647665479092
D,0.248015873015873,3.7202380952380953,18.129960317460316,27.108134920634917,29.6875,15.823412698412698,5.282738095238095
