split,split_type,n_rows,start_date,end_date,default_rate,avg_int_rate,avg_loan_amnt
time_train,calendar_time,273678,2007-06-01,2014-12-01,0.18456726518024832,13.732901621613722,13767.373153852337
time_valid,calendar_time,94264,2015-01-01,2015-12-01,0.24901340914877365,13.326764088093018,14908.141231010779
time_test,calendar_time,28088,2016-01-01,2016-12-01,0.13130162346909713,13.777572628880664,14824.655546852748
