split,n_rows,start_date,end_date,default_rate,avg_int_rate,avg_loan_amnt
train,273678,2007-06-01,2014-12-01,0.18456726518024832,13.732901621613724,13767.373153852337
valid,94264,2015-01-01,2015-12-01,0.24901340914877365,13.326764088093016,14908.141231010779
test,28088,2016-01-01,2016-12-01,0.13130162346909713,13.777572628880659,14824.655546852748
