model,split,roc_auc,pr_auc,brier_score,ece_10bin,ks_stat,avg_predicted_pd,actual_default_rate,accuracy,precision,recall,f1
Logistic Regression,valid,0.689120432641142,0.3516678990921413,0.14570826385609356,0.0015386437769586998,0.2765010134807669,0.19596521343096093,0.1961315736314053,0.8051814692613292,0.5399590163934426,0.04523216891253969,0.08347192523956601
Logistic Regression,test,0.6918153912330864,0.35904724428184365,0.14517145787046054,0.0023230950025605593,0.27492105089394236,0.19598267393475036,0.19612827203097383,0.8057570911539432,0.5625,0.043258089434383314,0.08033792938551049
Random Forest,valid,0.688430300427142,0.35187365494922396,0.1464929608173575,0.020599187796856863,0.2724336533169804,0.19598253875231655,0.1961315736314053,0.8042892734495993,0.7450980392156863,0.0032615226160844562,0.0064946163049051445
Random Forest,test,0.6917029001452661,0.35787006510986186,0.14604015233416662,0.02080637376617863,0.273226214886584,0.19620816106159694,0.19612827203097383,0.8040063967679488,0.5689655172413793,0.0028323749034417645,0.005636689725851908
XGBoost,valid,0.6987112724654667,0.3646363032810006,0.1443849919613154,0.00434691864292527,0.2907617664060992,0.19591611623764038,0.1961315736314053,0.8059389940071375,0.5544729849424269,0.05372929362286499,0.09796557120500783
XGBoost,test,0.7019625149385263,0.37118367591465845,0.14383548749744732,0.004700493596587636,0.2928708886325398,0.19604215025901794,0.19612827203097383,0.8068344415453245,0.578853046594982,0.05544588447343576,0.10119840213049268
