split,split_type,n_rows,start_date,end_date,default_rate,avg_int_rate,avg_loan_amnt
train,stratified_random,277221,2007-06-01,2016-12-01,0.19612872040718415,13.63494652281032,14110.659455813233
valid,stratified_random,59404,2007-07-01,2016-12-01,0.1961315736314053,13.637714800350146,14125.928809507777
test,stratified_random,59405,2007-07-01,2016-12-01,0.19612827203097383,13.661868192913056,14116.914401144684
