model,split,roc_auc,pr_auc,brier_score,ece_10bin,ks_stat,avg_predicted_pd,actual_default_rate,accuracy,precision,recall,f1
Sigmoid-Calibrated XGBoost,test,0.7019625149385263,0.37118367591465845,0.14430418923968338,0.014846589693598216,0.2928708886325398,0.1962547520822918,0.19612827203097383,0.8065651039474792,0.5373831775700935,0.09870397390781907,0.16677543325357116
XGBoost,test,0.7019625149385263,0.37118367591465845,0.14383548749744732,0.004700493596587636,0.2928708886325398,0.19604215025901794,0.19612827203097383,0.8068344415453245,0.578853046594982,0.05544588447343576,0.10119840213049268
Sigmoid-Calibrated XGBoost,valid,0.6987112724654667,0.3646363032810006,0.14493608321794724,0.015462083037068584,0.2907617664060992,0.19613143730948673,0.1961315736314053,0.8051814692613292,0.5184659090909091,0.09398334906874946,0.15912228438567172
XGBoost,valid,0.6987112724654667,0.3646363032810006,0.1443849919613154,0.00434691864292527,0.2907617664060992,0.19591611623764038,0.1961315736314053,0.8059389940071375,0.5544729849424269,0.05372929362286499,0.09796557120500783
